ID,Year,Event,Date,Week Num,Week Show,P/S/F,Perf,School Full,State,MPI,MPE,Mus Avg,VPI,VPE,Vis Avg,MGE1,MGE2,MGE Tot,VGE,GE Tot,Subtotal,Pen,Total,Place: Class,Class,Place: Panel,Place: Overall,Semis/Finals?,GN Finals?,Show Concat,SchoolConcat,MPI Rank,MPE Rank,Mus Avg Rank,VPI Rank,VPE Rank,Vis Avg Rank,MGE1 Rank,MGE2 Rank,MGE Tot Rank,VGE Rank,GE Tot Rank,Subtotal Rank,Total Rank
11,2024,Arizona Regional,10/5/2024,4,45.00,Finals,3,"Pinecrest Academy of Nevada Cadence, NV",NV,14.400,13.000,13.700,14.800,14.100,14.450,14.400,14.400,28.800,14.800,43.600,71.750,0,71.750,,A,,11,,,,"Pinecrest Academy of Nevada Cadence, NV71.75",8,11,11,6,9,8,10,12,11,8,10,11,11
12,2024,Arizona Regional,10/5/2024,4,45.00,Finals,5,"Sierra Vista H.S., NV",NV,13.500,12.600,13.050,13.500,13.900,13.700,13.600,14.500,28.100,14.000,42.100,68.850,0,68.850,,AAAA,,12,,,,"Sierra Vista H.S., NV68.85",12,12,12,12,10,12,12,11,12,12,12,12,12
13,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,11,"Dobyns-Bennett H.S., TN",TN,16.500,16.500,16.500,16.000,16.300,16.150,16.300,16.900,33.200,16.300,49.500,82.150,0,82.150,,AAA,,1,,,,"Dobyns-Bennett H.S., TN82.15",3,1,1,1,1,1,1,1,1,1,1,1,1
14,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,8,"North H.S., IN",IN,17.200,15.700,16.450,15.100,15.600,15.350,15.900,16.400,32.300,15.800,48.100,79.900,0,79.900,,AA,,2,,,,"North H.S., IN79.9",1,3,3,4,2,2,2,2,2,2,2,2,2
15,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,12,"Lakota East H.S., OH",OH,15.400,15.500,15.450,14.200,15.000,14.600,15.800,16.200,32.000,15.000,47.000,77.050,0,77.050,,AAAA,,3,,,,"Lakota East H.S., OH77.05",8,4,4,8,3,5,4,3,3,6,3,3,3
16,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,9,"Lambert H.S., GA",GA,16.900,16.100,16.500,13.900,14.200,14.050,15.850,15.900,31.750,14.600,46.350,76.900,0,76.900,,AAAA,,4,,,,"Lambert H.S., GA76.9",2,2,1,10,6,10,3,4,4,8,4,4,4
17,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,10,"Walton H.S., GA",GA,15.600,14.900,15.250,15.000,14.900,14.950,15.700,15.300,31.000,15.200,46.200,76.400,0,76.400,,AAAA,,5,,,,"Walton H.S., GA76.4",6,7,7,5,4,3,5,5,5,5,5,5,5
18,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,7,"Cass H.S., GA",GA,16.300,14.300,15.300,15.700,13.600,14.650,15.300,14.900,30.200,15.500,45.700,75.650,0,75.650,,AA,,6,,,,"Cass H.S., GA75.65",4,9,6,2,10,4,6,7,6,3,6,6,6
19,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,5,"Harrison H.S., GA",GA,15.700,15.200,15.450,14.000,14.500,14.250,14.800,14.800,29.600,15.300,44.900,74.600,0,74.600,,AAA,,7,,,,"Harrison H.S., GA74.6",5,5,4,9,5,6,9,8,8,4,7,7,7
20,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,2,"Franklin H.S., TN",TN,15.500,14.700,15.100,13.700,13.800,13.750,15.000,15.100,30.100,14.700,44.800,73.650,0,73.650,,AAA,,8,,,,"Franklin H.S., TN73.65",7,8,8,11,8,11,7,6,7,7,8,8,8
21,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,3,"Hoover H.S., AL",AL,14.200,14.000,14.100,15.300,13.200,14.250,14.700,14.500,29.200,14.100,43.300,71.650,0,71.650,,AAAA,,9,,,,"Hoover H.S., AL71.65",9,11,10,3,12,6,10,9,9,11,9,9,9
22,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,6,"Buford H.S., GA",GA,14.100,15.000,14.550,13.100,13.500,13.300,14.900,13.800,28.700,14.300,43.000,70.850,0,70.850,,AAA,,10,,,,"Buford H.S., GA70.85",10,6,9,12,11,12,8,12,10,10,10,10,10
23,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,1,"Lassiter H.S., GA",GA,13.500,14.200,13.850,14.400,13.900,14.150,14.100,14.300,28.400,13.800,42.200,70.200,0,70.200,,AAA,,11,,,,"Lassiter H.S., GA70.2",12,10,11,7,7,9,11,10,11,12,12,11,11
24,2024,Chattanooga Regional,10/5/2024,4,45.00,Finals,4,"Nation Ford H.S., SC",SC,13.600,13.600,13.600,14.800,13.700,14.250,13.900,14.000,27.900,14.400,42.300,70.150,0,70.150,,AAA,,12,,,,"Nation Ford H.S., SC70.15",11,12,12,6,9,6,12,11,12,9,11,12,12
25,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,7,"Hebron H.S., TX",TX,18.100,17.900,18.000,17.100,17.300,17.200,17.400,17.500,34.900,17.500,52.400,87.600,0,87.600,,AAAA,,1,,,,"Hebron H.S., TX87.6",1,1,1,2,1,1,1,1,1,3,1,1,1
26,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,10,"Flower Mound H.S., TX",TX,17.900,17.700,17.800,17.200,17.000,17.100,17.200,17.400,34.600,17.800,52.400,87.300,0,87.300,,AAAA,,2,,,,"Flower Mound H.S., TX87.3",2,2,2,1,2,2,2,2,2,1,1,2,2
27,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,9,"Coppell H.S., TX",TX,17.300,16.900,17.100,16.500,16.600,16.550,16.900,16.900,33.800,16.800,50.600,84.250,0,84.250,,AAAA,,3,,,,"Coppell H.S., TX84.25",4,3,3,3,3,3,3,3,3,5,4,3,3
28,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,12,"Wakeland H.S., TX",TX,17.400,16.800,17.100,16.200,16.000,16.100,16.650,16.650,33.300,17.600,50.900,84.100,0,84.100,,AAA,,4,,,,"Wakeland H.S., TX84.1",3,4,3,5,6,5,5,5,4,2,3,4,4
29,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,11,"Timber Creek H.S., TX",TX,16.500,16.400,16.450,16.300,15.700,16.000,16.600,16.550,33.150,16.900,50.050,82.500,0.3,82.200,,AAAA,,5,,,,"Timber Creek H.S., TX82.2",6,7,7,4,7,7,6,6,6,4,5,5,5
30,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,8,"Waxahachie H.S., TX",TX,16.600,16.650,16.625,15.800,16.400,16.100,16.700,16.200,32.900,16.500,49.400,82.125,0,82.125,,AAAA,,6,,,,"Waxahachie H.S., TX82.125",5,5,5,8,4,5,4,7,7,6,6,6,6
31,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,2,"Lone Star H.S., TX",TX,16.400,16.600,16.500,15.700,15.200,15.450,16.500,16.700,33.200,15.100,48.300,80.250,0,80.250,,AAA,,7,,,,"Lone Star H.S., TX80.25",7,6,6,9,10,9,7,4,5,10,7,7,7
32,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,4,"Keller H.S., TX",TX,15.400,16.200,15.800,15.600,15.600,15.600,16.100,15.800,31.900,15.200,47.100,78.500,0,78.500,,AAAA,,8,,,,"Keller H.S., TX78.5",10,8,8,10,8,8,8,9,8,9,8,8,8
33,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,5,"L.D. Bell H.S., TX",TX,15.200,15.800,15.500,15.300,15.500,15.400,15.700,15.600,31.300,15.600,46.900,77.800,0,77.800,,AAAA,,9,,,,"L.D. Bell H.S., TX77.8",11,9,10,11,9,10,10,10,10,8,9,9,9
34,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,3,"Aledo H.S., TX",TX,15.800,15.600,15.700,16.000,14.800,15.400,15.900,16.000,31.900,14.600,46.500,77.600,0.1,77.500,,AAA,,10,,,,"Aledo H.S., TX77.5",8,10,9,7,12,10,9,8,8,12,10,10,10
35,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,6,"Southlake Carroll H.S., TX",TX,15.000,15.200,15.100,16.100,16.200,16.150,15.000,15.000,30.000,15.800,45.800,77.050,0.3,76.750,,AAAA,,11,,,,"Southlake Carroll H.S., TX76.75",12,12,12,6,5,4,12,12,12,7,11,11,11
36,2024,Dallas/Ft. Worth Regional,10/5/2024,4,45.00,Finals,1,"Rock Hill H.S., TX",TX,15.600,15.400,15.500,15.000,15.000,15.000,15.300,15.400,30.700,14.800,45.500,76.000,0,76.000,,AAA,,12,,,,"Rock Hill H.S., TX76",9,11,10,12,11,12,11,11,11,11,12,12,12
37,2024,Memphis Regional,10/5/2024,4,45.00,Finals,10,"Bartlett H.S., TN",TN,16.300,16.900,16.600,16.000,15.900,15.950,16.500,16.900,33.400,16.700,50.100,82.650,0,82.650,,AAAA,,1,,,,"Bartlett H.S., TN82.65",1,1,1,2,2,2,1,1,1,1,1,1,1
38,2024,Memphis Regional,10/5/2024,4,45.00,Finals,9,"Arlington H.S., TN",TN,15.400,16.100,15.750,16.200,16.200,16.200,15.900,16.300,32.200,16.500,48.700,80.650,0,80.650,,AA,,2,,,,"Arlington H.S., TN80.65",4,3,3,1,1,1,3,2,2,2,2,2,2
39,2024,Memphis Regional,10/5/2024,4,45.00,Finals,8,"Hernando H.S., MS",MS,15.800,15.900,15.850,15.800,15.700,15.750,16.100,16.100,32.200,16.300,48.500,80.100,0,80.100,,AA,,3,,,,"Hernando H.S., MS80.1",2,4,2,3,4,3,2,3,2,3,3,3,3
40,2024,Memphis Regional,10/5/2024,4,45.00,Finals,11,"Germantown H.S., MS",MS,15.100,16.300,15.700,15.600,15.800,15.700,15.700,15.900,31.600,16.100,47.700,79.100,0,79.100,,AA,,4,,,,"Germantown H.S., MS79.1",5,2,4,5,3,4,4,4,4,4,4,4,4
41,2024,Memphis Regional,10/5/2024,4,45.00,Finals,12,"Cabot H.S., AR",AR,15.600,15.700,15.650,15.700,15.300,15.500,15.600,15.500,31.100,15.800,46.900,78.050,0,78.050,,AAAA,,5,,,,"Cabot H.S., AR78.05",3,5,5,4,5,5,5,5,5,5,5,5,5
42,2024,Memphis Regional,10/5/2024,4,45.00,Finals,7,"Munford H.S., TN",TN,14.900,15.100,15.000,15.000,14.500,14.750,15.300,14.550,29.850,15.600,45.450,75.200,0,75.200,,AA,,6,,,,"Munford H.S., TN75.2",6,7,7,7,9,7,7,8,8,6,6,6,6
43,2024,Memphis Regional,10/5/2024,4,45.00,Finals,2,"Collierville H.S., TN",TN,14.600,15.500,15.050,14.000,15.200,14.600,14.700,15.300,30.000,15.400,45.400,75.050,0,75.050,,AAAA,,7,,,,"Collierville H.S., TN75.05",7,6,6,10,6,9,9,6,7,7,7,7,7
44,2024,Memphis Regional,10/5/2024,4,45.00,Finals,6,"Murray H.S., KY",KY,14.500,14.700,14.600,15.200,15.000,15.100,15.500,14.700,30.200,15.100,45.300,75.000,0.2,74.800,,A,,8,,,,"Murray H.S., KY74.8",8,9,8,6,7,6,6,7,6,8,8,8,8
45,2024,Memphis Regional,10/5/2024,4,45.00,Finals,3,"DeSoto Central H.S., MS",MS,14.200,14.900,14.550,14.600,14.900,14.750,15.100,13.800,28.900,14.900,43.800,73.100,0,73.100,,AAA,,9,,,,"DeSoto Central H.S., MS73.1",10,8,9,8,8,7,8,11,9,9,9,9,9
46,2024,Memphis Regional,10/5/2024,4,45.00,Finals,1,"Francis Howell Central H.S., MO",MO,13.800,14.500,14.150,13.600,13.700,13.650,14.500,14.400,28.900,13.900,42.800,70.600,0,70.600,,AA,,10,,,,"Francis Howell Central H.S., MO70.6",11,10,11,12,12,12,10,9,9,12,10,11,10
47,2024,Memphis Regional,10/5/2024,4,45.00,Finals,5,"Tupelo H.S., MS",MS,13.600,14.000,13.800,14.200,14.000,14.100,14.300,13.600,27.900,14.700,42.600,70.500,0,70.500,,AAA,,11,,,,"Tupelo H.S., MS70.5",12,12,12,9,10,10,11,12,12,10,12,12,11
48,2024,Memphis Regional,10/5/2024,4,45.00,Finals,4,"Paragould H.S., AR",AR,14.300,14.200,14.250,13.800,13.800,13.800,14.100,14.200,28.300,14.400,42.700,70.750,0.3,70.450,,AA,,12,,,,"Paragould H.S., AR70.45",9,11,10,11,11,11,12,10,11,11,11,10,12
49,2024,South Houston Regional,10/5/2024,4,45.00,Finals,12,"Pearland H.S., TX",TX,16.500,17.000,16.750,17.100,17.200,17.150,17.600,18.300,35.900,16.800,52.700,86.600,0,86.600,,AAAA,,1,,,,"Pearland H.S., TX86.6",5,1,3,2,1,1,1,1,1,2,1,1,1
50,2024,South Houston Regional,10/5/2024,4,45.00,Finals,8,"Ronald Reagan H.S., TX",TX,17.500,16.900,17.200,17.300,16.800,17.050,17.200,17.900,35.100,16.600,51.700,85.950,0,85.950,,AAAA,,2,,,,"Ronald Reagan H.S., TX85.95",1,2,1,1,3,2,2,2,2,3,2,2,2
51,2024,South Houston Regional,10/5/2024,4,45.00,Finals,7,"Bridgeland H.S., TX",TX,17.100,16.700,16.900,16.900,17.000,16.950,16.600,16.700,33.300,17.000,50.300,84.150,0,84.150,,AAAA,,3,,,,"Bridgeland H.S., TX84.15",2,3,2,3,2,3,4,3,3,1,3,3,3
52,2024,South Houston Regional,10/5/2024,4,45.00,Finals,11,"Klein Oak H.S., TX",TX,16.600,16.200,16.400,16.300,16.600,16.450,16.200,16.500,32.700,16.500,49.200,82.050,0,82.050,,AAAA,,4,,,,"Klein Oak H.S., TX82.05",4,5,4,6,4,4,5,5,5,4,4,4,4
53,2024,South Houston Regional,10/5/2024,4,45.00,Finals,10,"Claudia Taylor Johnson H.S., TX",TX,16.700,16.000,16.350,16.400,16.200,16.300,15.800,16.600,32.400,16.300,48.700,81.350,0,81.350,,AAAA,,5,,,,"Claudia Taylor Johnson H.S., TX81.35",3,7,5,5,5,5,8,4,6,5,6,5,5
54,2024,South Houston Regional,10/5/2024,4,45.00,Finals,9,"Cy-Fair H.S., TX",TX,15.600,16.400,16.000,16.600,15.900,16.250,16.800,16.300,33.100,15.700,48.800,81.050,0,81.050,,AAAA,,6,,,,"Cy-Fair H.S., TX81.05",10,4,7,4,7,6,3,6,4,9,5,6,6
55,2024,South Houston Regional,10/5/2024,4,45.00,Finals,2,"Dickinson H.S., TX",TX,15.500,15.900,15.700,15.100,15.500,15.300,16.100,16.000,32.100,16.200,48.300,79.300,0,79.300,,AAAA,,7,,,,"Dickinson H.S., TX79.3",11,8,10,12,11,12,6,8,7,6,7,7,7
56,2024,South Houston Regional,10/5/2024,4,45.00,Finals,5,"Foster H.S., TX",TX,15.300,15.600,15.450,15.300,16.000,15.650,15.900,16.200,32.100,16.000,48.100,79.200,0,79.200,,AAAA,,8,,,,"Foster H.S., TX79.2",12,10,12,11,6,9,7,7,7,7,8,8,8
57,2024,South Houston Regional,10/5/2024,4,45.00,Finals,6,"Seven Lakes H.S., TX",TX,16.400,16.100,16.250,15.900,15.400,15.650,15.500,15.800,31.300,15.500,46.800,78.700,0,78.700,,AAAA,,9,,,,"Seven Lakes H.S., TX78.7",6,6,6,8,12,9,10,9,10,10,9,9,9
58,2024,South Houston Regional,10/5/2024,4,45.00,Finals,4,"Dawson H.S., TX",TX,16.000,15.500,15.750,15.700,15.700,15.700,15.700,15.700,31.400,15.100,46.500,77.950,0,77.950,,AAAA,,10,,,,"Dawson H.S., TX77.95",8,11,9,9,9,8,9,10,9,12,10,10,10
59,2024,South Houston Regional,10/5/2024,4,45.00,Finals,3,"Friendswood H.S., TX",TX,16.100,15.700,15.900,16.200,15.600,15.900,15.300,15.000,30.300,15.800,46.100,77.900,0,77.900,,AAA,,11,,,,"Friendswood H.S., TX77.9",7,9,8,7,10,7,11,12,12,8,11,11,11
60,2024,South Houston Regional,10/5/2024,4,45.00,Finals,1,"Churchill Fulshear H.S., TX",TX,15.800,15.400,15.600,15.500,15.800,15.650,15.000,15.400,30.400,15.400,45.800,77.050,0,77.050,,AAAA,,12,,,,"Churchill Fulshear H.S., TX77.05",9,12,11,10,8,9,12,11,11,11,12,12,12
61,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,11,"Edmond Santa Fe H.S., OK",OK,16.200,16.800,16.500,16.000,16.200,16.100,16.400,16.700,33.100,16.600,49.700,82.300,0,82.300,1,AAAA,,1,,,,"Edmond Santa Fe H.S., OK82.3",1,1,1,1,1,1,1,1,1,1,1,1,1
62,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,17,"Mountain Ridge H.S., AZ",AZ,14.800,16.100,15.450,15.700,15.900,15.800,16.200,16.100,32.300,15.800,48.100,79.350,0,79.350,2,AAAA,,2,,,,"Mountain Ridge H.S., AZ79.35",4,3,2,2,2,2,2,3,2,2,2,2,2
63,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,6,"Foothill H.S., NV",NV,15.400,15.400,15.400,15.300,15.400,15.350,15.300,15.300,30.600,15.600,46.200,76.950,0,76.950,1,AAA,,3,,,,"Foothill H.S., NV76.95",2,7,4,3,5,4,6,5,5,3,4,3,3
64,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,8,"Catalina Foothills H.S., AZ",AZ,14.500,16.400,15.450,12.800,14.300,13.550,16.000,15.900,31.900,15.300,47.200,76.200,0,76.200,2,AAA,,4,,,,"Catalina Foothills H.S., AZ76.2",5,2,2,12,8,10,3,4,3,4,3,4,4
65,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,13,"Mission Hills H.S., CA",CA,13.800,15.300,14.550,14.400,14.200,14.300,15.600,16.300,31.900,14.300,46.200,75.050,0,75.050,3,AAAA,,5,,,,"Mission Hills H.S., CA75.05",8,9,7,7,9,8,4,2,3,8,4,5,5
66,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,16,"Desert Vista H.S., AZ",AZ,15.000,13.600,14.300,15.100,15.800,15.450,15.500,14.900,30.400,14.400,44.800,74.550,0,74.550,4,AAAA,,6,,,,"Desert Vista H.S., AZ74.55",3,13,9,4,3,3,5,7,6,7,7,6,6
67,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,15,"Arbor View H.S., NV",NV,13.600,15.800,14.700,13.600,15.600,14.600,14.600,15.100,29.700,15.200,44.900,74.200,0,74.200,5,AAAA,,7,,,,"Arbor View H.S., NV74.2",9,4,6,9,4,7,8,6,7,5,6,7,7
68,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,12,"Basha H.S., AZ",AZ,14.000,15.650,14.825,14.800,14.600,14.700,14.400,14.500,28.900,12.500,41.400,70.925,0,70.925,6,AAAA,,8,,,,"Basha H.S., AZ70.925",7,5,5,5,7,6,9,9,9,13,10,8,8
69,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,7,"Sandra Day O'Connor H.S., AZ",AZ,12.500,15.350,13.925,12.600,13.700,13.150,14.800,14.300,29.100,14.700,43.800,70.875,0,70.875,7,AAAA,,9,,,,"Sandra Day O'Connor H.S., AZ70.875",13,8,12,13,10,12,7,10,8,6,8,9,9
70,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,3,"Millennium H.S., AZ",AZ,13.500,15.600,14.550,13.000,12.900,12.950,14.000,14.700,28.700,13.700,42.400,69.900,0,69.900,3,AAA,,10,,,,"Millennium H.S., AZ69.9",10,6,7,11,13,13,10,8,10,9,9,10,10
71,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,4,"Pinecrest Academy of Nevada Cadence, NV",NV,14.100,13.800,13.950,14.600,14.900,14.750,12.400,13.500,25.900,12.800,38.700,67.400,0,67.400,1,A,,11,,,,"Pinecrest Academy of Nevada Cadence, NV67.4",6,12,10,6,6,5,14,12,13,12,13,11,11
72,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,2,"Sierra Vista H.S., NV",NV,12.900,15.000,13.950,13.400,13.300,13.350,13.500,13.100,26.600,13.200,39.800,67.100,0,67.100,8,AAAA,,12,,,,"Sierra Vista H.S., NV67.1",12,10,10,10,12,11,11,13,12,10,11,12,12
73,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,5,"Mountain View H.S., AZ",AZ,13.200,14.000,13.600,13.900,13.600,13.750,13.100,13.900,27.000,12.200,39.200,66.550,0,66.550,9,AAAA,,13,,,,"Mountain View H.S., AZ66.55",11,11,13,8,11,9,12,11,11,14,12,13,13
74,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,14,"Covina H.S., CA",CA,12.300,13.200,12.750,12.400,12.800,12.600,11.800,12.100,23.900,13.000,36.900,62.250,0,62.250,1,AA,,14,,,,"Covina H.S., CA62.25",14,14,14,14,14,14,15,15,15,11,15,14,14
75,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,10,"Ironwood Ridge H.S., AZ",AZ,12.200,11.850,12.025,12.000,12.400,12.200,12.700,12.400,25.100,12.000,37.100,61.325,1,60.325,2,AA,,15,,,,"Ironwood Ridge H.S., AZ60.325",15,16,15,15,15,15,13,14,14,15,14,15,15
76,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,9,"Faith Lutheran H.S., NV",NV,11.000,12.000,11.500,11.300,12.200,11.750,11.000,11.900,22.900,11.200,34.100,57.350,0,57.350,3,AA,,16,,,,"Faith Lutheran H.S., NV57.35",17,15,17,17,16,16,17,16,16,17,17,17,16
77,2024,Arizona Regional,10/5/2024,4,40.00,Prelims,1,"Liberty H.S., AZ",AZ,11.900,11.700,11.800,11.700,11.800,11.750,11.400,11.400,22.800,11.400,34.200,57.750,1,56.750,10,AAAA,,17,,,,"Liberty H.S., AZ56.75",16,17,16,16,17,16,16,17,17,16,16,16,17
78,2024,Chattanooga Regional,10/5/2024,4,40.00,Prelims,16,"Dobyns-Bennett H.S., TN",TN,17.300,17.800,17.550,15.600,16.200,15.900,15.900,16.600,32.500,17.000,49.500,82.950,0,82.950,1,AAA,,1,,,,"Dobyns-Bennett H.S., TN82.95",2,1,1,1,1,1,1,1,1,1,1,1,1
79,2024,Chattanooga Regional,10/5/2024,4,40.00,Prelims,23,"North H.S., IN",IN,16.100,16.500,16.300,15.500,15.800,15.650,14.900,15.400,30.300,16.500,46.800,78.750,0,78.750,1,AA,,2,,,,"North H.S., IN78.75",5,2,3,2,2,2,4,4,4,2,2,2,2
80,2024,Chattanooga Regional,10/5/2024,4,40.00,Prelims,10,"Lambert H.S., GA",GA,17.500,15.200,16.350,14.800,14.100,14.450,15.600,15.700,31.300,13.800,45.100,75.900,0,75.900,1,AAAA,,3,,,,"Lambert H.S., GA75.9",1,4,2,5,9,7,2,3,2,14,3,3,3
81,2024,Chattanooga Regional,10/5/2024,4,40.00,Prelims,2,"Walton H.S., GA",GA,16.300,14.900,15.600,15.300,14.600,14.950,14.700,15.100,29.800,14.500,44.300,74.850,0,74.850,2,AAAA,,4,,,,"Walton H.S., GA74.85",4,6,5,3,5,3,5,6,5,9,5,4,4
82,2024,Chattanooga Regional,10/5/2024,4,40.00,Prelims,8,"Lakota East H.S., OH",OH,16.700,13.000,14.850,15.000,14.300,14.650,15.100,16.000,31.100,13.600,44.700,74.200,0,74.200,3,AAAA,,5,,,,"Lakota East H.S., OH74.2",3,18,6,4,7,4,3,2,3,16,4,5,5
83,2024,Chattanooga Regional,10/5/2024,4,40.00,Prelims,13,"Cass H.S., GA",GA,13.700,14.400,14.050,13.800,15.200,14.500,13.800,14.000,27.800,16.200,44.000,72.550,0,72.550,2,AA,,6,,,,"Cass H.S., GA72.55",19,9,14,12,3,6,8,11,10,3,7,6,6
84,2024,Chattanooga Regional,10/5/2024,4,40.00,Prelims,4,"Franklin H.S., TN",TN,15.800,16.000,15.900,14.600,14.000,14.300,14.500,14.400,28.900,12.900,41.800,72.000,0,72.000,2,AAA,,7,,,,"Franklin H.S., TN72",6,3,4,6,10,8,6,9,7,20,10,7,7
